filesize,E_file,Byte_0,Byte_1,Byte_2,Byte_3,Byte_4,Byte_5,Byte_6,Byte_7,Byte_8,Byte_9,Byte_10,Byte_11,Byte_12,Byte_13,Byte_14,Byte_15,Byte_16,Byte_17,Byte_18,Byte_19,Byte_20,Byte_21,Byte_22,Byte_23,Byte_24,Byte_25,Byte_26,Byte_27,Byte_28,Byte_29,Byte_30,Byte_31,Byte_32,Byte_33,Byte_34,Byte_35,Byte_36,Byte_37,Byte_38,Byte_39,Byte_40,Byte_41,Byte_42,Byte_43,Byte_44,Byte_45,Byte_46,Byte_47,Byte_48,Byte_49,Byte_50,Byte_51,Byte_52,Byte_53,Byte_54,Byte_55,Byte_56,Byte_57,Byte_58,Byte_59,Byte_60,Byte_61,Byte_62,Byte_63,Byte_64,Byte_65,Byte_66,Byte_67,Byte_68,Byte_69,Byte_70,Byte_71,Byte_72,Byte_73,Byte_74,Byte_75,Byte_76,Byte_77,Byte_78,Byte_79,Byte_80,Byte_81,Byte_82,Byte_83,Byte_84,Byte_85,Byte_86,Byte_87,Byte_88,Byte_89,Byte_90,Byte_91,Byte_92,Byte_93,Byte_94,Byte_95,Byte_96,Byte_97,Byte_98,Byte_99,Byte_100,Byte_101,Byte_102,Byte_103,Byte_104,Byte_105,Byte_106,Byte_107,Byte_108,Byte_109,Byte_110,Byte_111,Byte_112,Byte_113,Byte_114,Byte_115,Byte_116,Byte_117,Byte_118,Byte_119,Byte_120,Byte_121,Byte_122,Byte_123,Byte_124,Byte_125,Byte_126,Byte_127,Byte_128,Byte_129,Byte_130,Byte_131,Byte_132,Byte_133,Byte_134,Byte_135,Byte_136,Byte_137,Byte_138,Byte_139,Byte_140,Byte_141,Byte_142,Byte_143,Byte_144,Byte_145,Byte_146,Byte_147,Byte_148,Byte_149,Byte_150,Byte_151,Byte_152,Byte_153,Byte_154,Byte_155,Byte_156,Byte_157,Byte_158,Byte_159,Byte_160,Byte_161,Byte_162,Byte_163,Byte_164,Byte_165,Byte_166,Byte_167,Byte_168,Byte_169,Byte_170,Byte_171,Byte_172,Byte_173,Byte_174,Byte_175,Byte_176,Byte_177,Byte_178,Byte_179,Byte_180,Byte_181,Byte_182,Byte_183,Byte_184,Byte_185,Byte_186,Byte_187,Byte_188,Byte_189,Byte_190,Byte_191,Byte_192,Byte_193,Byte_194,Byte_195,Byte_196,Byte_197,Byte_198,Byte_199,Byte_200,Byte_201,Byte_202,Byte_203,Byte_204,Byte_205,Byte_206,Byte_207,Byte_208,Byte_209,Byte_210,Byte_211,Byte_212,Byte_213,Byte_214,Byte_215,Byte_216,Byte_217,Byte_218,Byte_219,Byte_220,Byte_221,Byte_222,Byte_223,Byte_224,Byte_225,Byte_226,Byte_227,Byte_228,Byte_229,Byte_230,Byte_231,Byte_232,Byte_233,Byte_234,Byte_235,Byte_236,Byte_237,Byte_238,Byte_239,Byte_240,Byte_241,Byte_242,Byte_243,Byte_244,Byte_245,Byte_246,Byte_247,Byte_248,Byte_249,Byte_250,Byte_251,Byte_252,Byte_253,Byte_254,Byte_255,Suspicious_Strings,e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,E_text,E_data,packer,IAT_Count,Resource_Entropy,class
5111088,7.9163057151483,0.03363980428433241,0.0059883531647273525,0.0070853798643263416,0.004534650939291203,0.005420176682538042,0.004170540597227048,0.0038400825812429755,0.003979778865087042,0.00562854718995251,0.003703125440219381,0.0038146476836243078,0.003557363911558556,0.00418814937250151,0.003626038135128958,0.0034910375246914155,0.004017539905397833,0.0044090416756667064,0.003713103746208243,0.003580450972473962,0.003460319994490409,0.0037432343172334338,0.0036506904205132053,0.003430972035699639,0.003455428668025281,0.004458541899493806,0.0034116023828977306,0.003436841627457793,0.003470298300479271,0.0036017771558619215,0.00338871097504093,0.003387732709747904,0.0034315589948754545,0.003975083191680519,0.0034004501585572383,0.003410232811487495,0.0033806891996381195,0.004120257761165528,0.003452493872146204,0.0034577765047285425,0.0034110154237219155,0.0036232989923084863,0.003430776382641034,0.0034180589338317,0.003471667871889507,0.003654994787802518,0.0035332985853501245,0.004073887986276111,0.0033992762402056073,0.003730321215365495,0.003457189545552727,0.0034943636266877025,0.004067235782283536,0.0036326903391215326,0.0034501460354429423,0.003402993648319105,0.003401819729967474,0.003529581177236627,0.0034043632197293407,0.0033953631790335044,0.0035669509114302075,0.0036714296447253494,0.0034927984022188616,0.0035405377485185144,0.0033603412815431857,0.005869787411212641,0.004019300782925278,0.004158997066769345,0.005014000932873783,0.0044000416349708705,0.005308654439133115,0.00416760580134797,0.004130823026330205,0.0040506052723021,0.00418893198473593,0.0038432130301806577,0.00471934742661445,0.0037976258675256613,0.0036501034613373898,0.0035070810754970366,0.0035113854427863494,0.004015779027870386,0.0035565812993241354,0.0037645605006213934,0.004945326709303381,0.004143149169022329,0.004373237165941967,0.003851626111700678,0.00367945142012816,0.003416102403245649,0.003908169845637562,0.0036058858700926295,0.0038136694183312824,0.003600994543627501,0.004433693961050954,0.003682581869065842,0.003518428952896134,0.003851039152524863,0.004863348077747829,0.003433711178520111,0.004078192353565424,0.004531911796470731,0.007006140375591262,0.0044423026956295795,0.003656755665329964,0.003931061253494363,0.004696260365699044,0.003535450768994781,0.0034522982190875987,0.004830087057784956,0.004219062555761121,0.00484280450659429,0.00466143412126733,0.003877061009319346,0.0033628847713050524,0.00502456619803846,0.005026327075565906,0.00639178977157114,0.004435650491637005,0.003493972320570492,0.003442515566157342,0.00375262566404648,0.004054518333474203,0.0033685587100046013,0.003386950097513484,0.0043859546147513,0.003547385605569694,0.003467754810717404,0.0034477981987396807,0.0037719953168483884,0.0034432981783917628,0.0034247111378242746,0.004298106391437595,0.003740886480530172,0.0037446038886436695,0.0033900805464511657,0.003370906546707863,0.0036103858904405475,0.004521346531306054,0.00338108050575533,0.008561777844560687,0.003416298056304254,0.0041965624540215305,0.003353689077550611,0.0033883196689237197,0.003598451053865634,0.003415906750187044,0.003419624158300541,0.003346254261323616,0.0033920370770372174,0.003356623873429688,0.003373645689528335,0.00334527599603059,0.0033574064856641086,0.0034174719746558847,0.0033429281593273285,0.0034534721374392297,0.0037044950116296173,0.003379906587403699,0.003384210954693012,0.0033636673835394726,0.0034372329335750035,0.0035610813196720534,0.0033836239955171966,0.0033397977103896462,0.003518233299837529,0.003355645608136662,0.0033951675259748996,0.003361123893777606,0.003420602423593567,0.0033129932413607428,0.0033525151591989803,0.0033489934041440877,0.003369732628356232,0.0033401890165068566,0.00330868887407143,0.003343710771561749,0.003698234113754253,0.0034072980156084178,0.003419624158300541,0.0033484064449682722,0.0034380155458094237,0.0033325585472212564,0.003431167688758244,0.003465602627072748,0.0036350381758247946,0.0034491677701499164,0.0034550373619080706,0.003366015220242734,0.0034458416681536295,0.003346645567440826,0.0034100371584288897,0.0033779500568176476,0.004414324308249045,0.0034229502602968285,0.003547581258628299,0.004578868530535963,0.0037980171736428712,0.0033769717915246218,0.0037062558891570634,0.0035714509317781255,0.003494754932804913,0.0034505373415601526,0.003361123893777606,0.0033589717101329495,0.003439580770278265,0.003333145506397072,0.0034108197706633103,0.003352710812257585,0.003506298463262616,0.003384797913868827,0.003605494563975419,0.003440559035571291,0.0034129719543079667,0.0034249067908828797,0.003496320157273754,0.0033918414239786122,0.0038590609279276736,0.0033984936279711866,0.003478907035057897,0.003608820665971706,0.0034597330353145937,0.003401819729967474,0.003338819445096621,0.0034701026474206658,0.0035687117889576536,0.003354862995902242,0.0033994718932642124,0.0033503629755543235,0.003493189708336072,0.003444080790626183,0.0034123849951321512,0.0033787326690520683,0.005556742517444426,0.003739712562178541,0.0034108197706633103,0.0039028872130552235,0.003742256051940408,0.0033253193840528665,0.0033977110157367664,0.0033979066687953715,0.0039038654783482493,0.0034043632197293407,0.003447211239563865,0.0034174719746558847,0.004269932350998456,0.003452885178263414,0.0036524512980406513,0.0035912118906972442,0.004043170456075105,0.0034796896472923176,0.0035289942180608113,0.003598255400807029,0.004313367330008796,0.003563429156375315,0.003746364766171116,0.008301950582733069,2,80,2,4,65535,184,256,10,1605433710,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,25,741376,56832,0,745196,4096,749568,4194304,4096,512,6,1,6,0,6,1,851968,1024,5145523,2,0,0,0,0,0,0,1,0,1,0,0,1048576,16384,1048576,4096,0,0,10,6.3560582043280895,5.044400562007733,0,7,7.957578333531398,0
6866536,7.989959970555854,0.013067141860175201,0.004112699620303454,0.004020804667739308,0.004225128944201267,0.004226439648754481,0.003973619303823645,0.004004639311583016,0.003900074215004479,0.00401687255407967,0.003970560993199482,0.003936628308655194,0.003900365482682971,0.0038987635104512663,0.0039271621091042114,0.0038836175911696955,0.003925997038390245,0.003909831682233952,0.003879539843670811,0.003913181260536608,0.003850558709660882,0.0038568209647484547,0.003882889421973466,0.0039061908362528056,0.0038422575808238677,0.003895559565987857,0.0038410925101099004,0.0038480829343937027,0.003854636457159767,0.003840364340913671,0.0038541995556420293,0.003872986320904747,0.003830461239844952,0.0038668696996564202,0.0038525975834103245,0.0038483742020721944,0.0038489567374291778,0.003830461239844952,0.003860461810729602,0.0038357040580578035,0.0038275485630600344,0.003908812245359231,0.0038485198359114402,0.0038364322272540327,0.0038632288536752735,0.003838762368681967,0.003870510545637567,0.0038483742020721944,0.003869636742602092,0.003921191121695131,0.003869199841084354,0.0038330826489513777,0.0038582773031409136,0.0038467722298404896,0.0038137133483316763,0.0038862390002761212,0.003825364055471346,0.003855655894034488,0.003868034770370387,0.0038483742020721944,0.0038515781465356036,0.0038560927955522254,0.0038572578662661927,0.003792742075480271,0.0038113832069037426,0.00392861844749667,0.0038654133612639613,0.0038901711139357597,0.0038757533638504186,0.0038758989976896644,0.0039241037984800485,0.0038568209647484547,0.0038652677274247154,0.003849830540464653,0.003849539272786161,0.0038185192650267903,0.003792013906284041,0.003859733641533372,0.0038308981413626895,0.003853180118767308,0.0038639570228715028,0.003932259293477817,0.0038502674419823905,0.0038491023712684236,0.0038792485759923194,0.003867889136531141,0.0038753164623326806,0.0038756077300111727,0.003873714490100976,0.0038610443460865853,0.0038287136337740012,0.003849830540464653,0.0038482285682329485,0.003863665755193011,0.003862209416800552,0.003828131098417018,0.003872986320904747,0.0038664327981386827,0.003956580144631878,0.003826820393863805,0.0038906080154534972,0.003863520121353765,0.0039522111294545016,0.003853180118767308,0.0038320632120766563,0.003904880131699593,0.003886384634115367,0.0038574035001054385,0.0038485198359114402,0.003942162394546537,0.003895559565987857,0.003940123520797094,0.003917841543392476,0.0039018218210754296,0.0038258009569890838,0.003883908858848187,0.003934298167227259,0.00392687084142572,0.003958473384542074,0.003824490252435871,0.0038024995427097443,0.0038416750454668843,0.003790411934052337,0.003845461525287277,0.003833956451986853,0.0038534713864457996,0.0038860933664368754,0.003799295598246335,0.0038174998281520693,0.003932113659638571,0.003875025194654189,0.00391026858375169,0.0038627919521575355,0.0038409468762706546,0.0038584229369801595,0.0038518694142140953,0.003825509689310592,0.0038528888510888162,0.0038606074445688477,0.0038412381439491463,0.0039686677532892855,0.0038402187070744253,0.0038641026567107486,0.003816334757438102,0.003816917292795086,0.003828131098417018,0.003784440946643256,0.003828131098417018,0.003814587151367152,0.0038741513916187137,0.003831335042880427,0.003798130527532368,0.0038332282827906235,0.0038262378585068217,0.003862209416800552,0.0038354127903793118,0.0038343933535045904,0.0038243446185966252,0.003871675616351534,0.003842840116180851,0.0038064316563693828,0.0038434226515378345,0.0038517237803748494,0.0037923051739625333,0.0038549277248382586,0.0037653629137020467,0.003854490823320521,0.003849539272786161,0.0038732775885832386,0.0038308981413626895,0.003819684335740757,0.0038151696867241352,0.0038317719443981646,0.0038722581517085172,0.003847937300554457,0.003792742075480271,0.003831189409041181,0.0038540539218027835,0.0037988586967285976,0.003782110805215322,0.003840364340913671,0.003825364055471346,0.0038275485630600344,0.003856966598587701,0.003876190265368156,0.003871384348673042,0.0038425488485023594,0.003816189123598856,0.003843859553055572,0.003848811103589932,0.003858859838497897,0.003815460954402627,0.0038445877222518013,0.0039051713993780847,0.003895850833666349,0.003820121237258495,0.0038501218081431446,0.0038185192650267903,0.003829587436809477,0.003867889136531141,0.003865704628942453,0.0038724037855477635,0.003872986320904747,0.003855655894034488,0.003806286022530137,0.0038499761743038988,0.003815315320563381,0.0038584229369801595,0.0038659958966209447,0.0038697823764413377,0.0038527432172495704,0.0038135677144924304,0.003852306315731833,0.003809489966993546,0.0038391992701997044,0.0038132764468139387,0.003797111090657647,0.0038562384293914713,0.0038456071591265227,0.0038568209647484547,0.003833810818147607,0.003819829969580003,0.003870364911798321,0.003829004901452493,0.003829587436809477,0.0038364322272540327,0.0038199756034192492,0.0038559471617129796,0.0038508499773393743,0.0038416750454668843,0.0038058491210123994,0.0038317719443981646,0.0038272572953815427,0.003942162394546537,0.0038469178636797354,0.0038441508207340638,0.0038818699850987452,0.003829150535291739,0.003821286307972462,0.00391944351562418,0.003888860409382547,0.003937065210172931,0.0038489567374291778,0.003847354765197473,0.003869491108762846,0.003842840116180851,0.003847791666715211,0.003828131098417018,0.003862355050639798,0.003867015333495666,0.0038550733586775045,0.003979735925071972,0.0038719668840300255,0.004033329177914453,0.004312217980070299,0.003887986606347072,0.005085242398787394,2,144,3,4,65535,184,216,5,1741475120,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,6,0,26624,139776,2048,13983,4096,32768,4194304,4096,512,4,0,6,0,4,0,454656,1024,6892500,2,0,0,0,0,0,0,1,0,1,0,1,1048576,4096,1048576,4096,0,0,5,6.454334667833775,4.1230490198806375,0,7,7.988411948605346,1
19463448,5.23318067937635,0.19912211854754616,0.0023375097773015345,0.0018600506960534434,0.0021888208091392644,0.0027454025617660344,0.0018586634803864147,0.0018473088632599939,0.0018650343967831393,0.0016990309219620285,0.0015498281702193773,0.0017719881903761347,0.0016196513587931594,0.0017045284062721054,0.0016665084213239093,0.0020012384239421503,0.001905263651126974,0.0016750886071162725,0.0015178708315196773,0.0014549323429230011,0.0016008982581092518,0.0016586475325440797,0.001880858931058875,0.0015984320969234227,0.0016353217579947808,0.0016341400557599044,0.001612972172248206,0.0015980724484171561,0.0018095971484600262,0.0018812699579231799,0.0016592126944824986,0.001772604730672592,0.001740647391972892,0.009078504486974764,0.0014859134928199773,0.0015574321672090167,0.0017359205830333865,0.0019280242637378536,0.001621963384904874,0.0015454610097861386,0.0016636826116318137,0.0015689922977675898,0.0015682730007550564,0.0015489033597746915,0.0016575172086672413,0.0016415385393173912,0.001669899392954424,0.0018532687527924138,0.0019281270204539297,0.0023105361393315304,0.0017414180673434635,0.0016875221697614934,0.001957720954683877,0.0017672613814366292,0.001786117238836613,0.0016677415019168238,0.0017498441180617125,0.0018106760939788265,0.0017300120718590046,0.0018655995587215585,0.001839859001344469,0.0018093402566698358,0.0018067713387679306,0.0019473425263601804,0.0019389678539999697,0.0021385213966199617,0.0018253703043777238,0.001632341813228571,0.0017777939448344405,0.001622939573707598,0.0019112235406593939,0.0016759620392029202,0.002113602892971482,0.0015473106306755104,0.0016038268245174236,0.0016026965006405854,0.001679815416055778,0.0015941676932062603,0.001786990670923261,0.001694304113022523,0.001796033261937967,0.0019746758128364513,0.0016425147281201153,0.0015894922626247929,0.0017397739598862443,0.0016048543916781857,0.0017266211002284898,0.0017859631037624988,0.00181247433651016,0.0015978669349850038,0.0016388154863413718,0.0016417440527495436,0.0016927113839233419,0.0016675873668427095,0.001704733919704258,0.0017491248210491789,0.001786528265700918,0.0016885497369222555,0.0027783874676264968,0.0016933279242197991,0.001983975295641348,0.002017628120156305,0.003162697585751507,0.0017414694457015016,0.0019254039674779103,0.0019054691645591264,0.0025737988459187703,0.001834361517034392,0.0018727411504888547,0.0022835625013615263,0.002044807271558462,0.0024276274173003673,0.002617984233831539,0.005789056491943257,0.0016690773392258145,0.002498735064825102,0.002427473282226253,0.0028728722680585682,0.00234603858473586,0.0018287098976502005,0.0018167387402273226,0.003506367422668378,0.0018735632042174645,0.00179161472314669,0.0017520020090993128,0.0017702927045608774,0.0018235206834883522,0.0017871448059973752,0.001967996626291498,0.001855323887113938,0.0015890812357604882,0.001496291921143674,0.0019213450771929002,0.0015757228626705813,0.0020102296365988185,0.0015681702440389802,0.0016559758579260983,0.001580141401461858,0.0019010506257678495,0.0015490061164907677,0.003078848105433323,0.0016086050118149671,0.0020372032745688226,0.0016190861968547402,0.0018206434954382183,0.0015553256545294545,0.001571509837311457,0.001510164077813962,0.0016148731714956158,0.0015795248611654008,0.0016076802013702813,0.0015478244142558913,0.001626895707276532,0.001546642712021015,0.0015640599753959318,0.0015932428827615745,0.0016437478087130296,0.0016261764102639983,0.0016673304750525189,0.0017096148637178777,0.0018745393930201884,0.0015984834752814608,0.0016422064579718865,0.0015367780672776992,0.0016750886071162725,0.001558100085863512,0.0016741637966715866,0.0015522943314052063,0.0016353731363528189,0.0015831213462280682,0.001576133889534886,0.001564625137334351,0.0016555134527037553,0.0016197541155092356,0.0016635798549157375,0.0016249947080291221,0.0018170983887335892,0.0015937052879839173,0.001651300427344631,0.0015814258604128107,0.0016645046653604233,0.0016836687929086358,0.0017026274070246958,0.0016087077685310435,0.0017085359181990775,0.0016447239975157537,0.0016674332317685953,0.0016400485669342863,0.001699185057036143,0.0017173729957816312,0.0017748653784262687,0.0017804142410943837,0.0021176104048984535,0.0018931383586299818,0.0016839770630568643,0.0016227854386334836,0.0016807402265004638,0.001671851770559872,0.0016618329907424419,0.0016769896063636824,0.0017902275074796613,0.001697181301072657,0.0016745234451778534,0.0016219120065468359,0.0016766813362154537,0.0019071646503743837,0.0016301325438329323,0.0018262437364643717,0.0019786319464053853,0.0017265183435124136,0.0016980547331593046,0.0016531500482340024,0.0017159857801146024,0.0016920434652688465,0.0016953316801832851,0.0017241035606846227,0.003421079348325127,0.001813501903670922,0.0016869570078230742,0.0016814595235129972,0.0017393629330219394,0.001713776510718964,0.001694355491380561,0.0017559067643102087,0.0019643487628707925,0.0017274945323151375,0.0016688718257936621,0.0016565410198645172,0.0017119268898295923,0.0017771774045379832,0.0016690259608677764,0.0016519683459991262,0.00179649566716031,0.0021897456195839504,0.0017960846402960051,0.0016926600055653038,0.0018330256797254012,0.0018222362245373996,0.0017492275777652552,0.0016750372287582345,0.0019788374598375376,0.0018955531414577725,0.0017433704449489114,0.0017233328853140512,0.0017839593477990128,0.0017803628627363456,0.0017677751650170103,0.001857892805015843,0.001841400352085612,0.0019243764003171483,0.0017957763701477766,0.0017787701336371643,0.0018254730610938,0.002002985288115446,0.0020798473117404482,0.004407184174150439,0.3310312746230781,2,144,3,4,65535,184,232,6,139086513,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,14,20,490496,11057152,0,469424,4096,495616,4194304,4096,512,10,0,10,0,6,1,11575296,1024,19466368,2,0,0,0,0,0,0,1,0,1,0,0,262144,8192,1048576,4096,0,0,6,6.3594936949823815,4.649731999915918,0,20,7.9129938557120525,1
43123136,7.9998634205003185,0.004757307075255381,0.003931184411078081,0.003934755579928139,0.003941364561241557,0.003953005644116421,0.003913027104522269,0.0038986960503058035,0.003892713183011551,0.00392823935624719,0.003910754542526778,0.003882834495153599,0.003912192285830047,0.003913328566827793,0.0038937567063768276,0.003892458099522261,0.003907716730063416,0.0038899768328537147,0.003929398826653052,0.003895704616658677,0.003899322164324969,0.003902174461523392,0.0038922957736654403,0.003887959354347513,0.0038966321929833673,0.003891831985503095,0.003897745284572996,0.0039104762696293704,0.00390811095000141,0.0039001106042009562,0.0038953103967206836,0.003880492364933756,0.003897652526940527,0.003906812343146843,0.0039010613699337637,0.003915948969945043,0.0038924117207060267,0.003944611078377973,0.0038862897169630707,0.003907392078349775,0.003883344662132179,0.0039011541275662327,0.0038865911792685948,0.003892991455908958,0.003910105239099494,0.0038955422908018562,0.0038816982141558535,0.0039087834428368105,0.0038961915942291397,0.003892898698276489,0.0039079950029608235,0.003911937202340758,0.0038913913867488674,0.0038951712602719804,0.0038839707761513446,0.003885060678332856,0.0038900464010780665,0.003894359630987876,0.0038918783643193296,0.003912261854054399,0.003885965065249429,0.003920610040976612,0.0038980235574704028,0.003909687829753383,0.003883808450294524,0.003909757397977735,0.003933619298930393,0.0039393007039191215,0.00391258650576804,0.003931323547526785,0.003902916522583144,0.003926221877740988,0.003901571536912343,0.0039014092110555227,0.003898394588000279,0.0039024063556045646,0.003903890477724069,0.003907647161839065,0.003892434910114144,0.003910383511996901,0.003906116660903326,0.0039181287743080655,0.003913514082092731,0.0039006207711795356,0.003912470558727454,0.003918476615429824,0.003901641105136695,0.0039118676341164055,0.003878590833468141,0.0039105690272618395,0.003903171606072434,0.0038975133904918234,0.0039029397119912613,0.00389711917055383,0.0039072993207173055,0.003898487345632748,0.003894614714477166,0.0038936639487443586,0.003899577247814259,0.0039030556590318476,0.003886892641574119,0.003918244721348651,0.0038982554515515754,0.0039079950029608235,0.003904864432864994,0.0038978380422054646,0.0039035890154185448,0.0038997627630791972,0.0038959133213317325,0.003915624318231402,0.003893246539398248,0.003912261854054399,0.0039005048241389493,0.0039044006447026486,0.003892713183011551,0.003895774184883029,0.0039236014746237375,0.0039069978584117815,0.0039025454920532682,0.003904702107008173,0.003895866942515498,0.0038869158309822365,0.003881651835339619,0.0038963539200859605,0.0038997163842629627,0.0038944060098041106,0.0039005280135470666,0.0038960988365966706,0.003914464847825538,0.003920957882098371,0.00389660900357525,0.0039023135979720956,0.003923763800480559,0.003907577593614713,0.0038997163842629627,0.003899925088936018,0.0038877506496744576,0.0038876115132257544,0.003945028487724084,0.0038939190322336485,0.003908551548755638,0.0038985569138571,0.003904609349375704,0.003892527667746613,0.00390734569953354,0.0039067891537387265,0.003884364996089338,0.0039051658951705184,0.0039027541967263236,0.003899206217284383,0.0039038440989078347,0.0038977220951648787,0.003919543328203218,0.003912076338789461,0.0039063021761682635,0.0038917160384625087,0.003889837696405011,0.003897049602329478,0.0039003424982821285,0.0038971655493700644,0.0039049108116812285,0.003899646816038611,0.00392079555624155,0.0038940349792742344,0.0038981626939191064,0.003886683936901064,0.0038980931256947546,0.0038948929873745732,0.003892898698276489,0.003898209072735341,0.0039035890154185448,0.003907461646574127,0.0039022904085639783,0.0038956350484343253,0.0038938262746011794,0.0038973742540431198,0.0038939190322336485,0.003906650017290023,0.003909432746264094,0.0039017106733610467,0.0039004352559145975,0.003912493748135571,0.003888052111979982,0.003916273621658684,0.003908551548755638,0.0038987656185301553,0.00389830183036781,0.0038955886696180908,0.003908574738163755,0.0039009686123012946,0.003889397097650783,0.0038942204945391725,0.0038925740465628475,0.003921236154995777,0.0038976293375324097,0.00391462717368236,0.003910800921343012,0.003905351410435456,0.0039004120665064802,0.003908018192368941,0.003919404191754515,0.0038986032926733344,0.003920146252814266,0.00389660900357525,0.0038985569138571,0.003888933309488438,0.0039015019686879917,0.0039061630397195604,0.0039045629705594695,0.00390523546339487,0.0038948234191502214,0.003915601128823284,0.003918569373062293,0.003885431708862732,0.003895611859026208,0.003908713874612458,0.0039044006447026486,0.0038912986291163984,0.003920262199854853,0.003888307195469272,0.0038997163842629627,0.0039001569830171908,0.003906951479595547,0.0038926436147871993,0.0038986032926733344,0.0038988583761626243,0.0038839012079269933,0.003897861231613582,0.003897582958716175,0.003892991455908958,0.0038999714677522526,0.0039043078870701796,0.003903426689561724,0.003932135176810889,0.003906974669003665,0.0038818605400126743,0.003919056350632755,0.0038905101892404113,0.0039001106042009562,0.0039034730683779584,0.003900481634730832,0.0038845505113542763,0.00390143240046364,0.0038855940347195528,0.0039037977200916,0.003898997512611328,0.003881350373034095,0.003905212273986753,0.003899670005446728,0.0039043078870701796,0.0039144416584174216,0.003888469521326093,0.0038870085886147055,0.003897304685818768,0.00388443456431369,0.003906255797352029,0.004050169264127729,2,144,3,4,65535,184,128,7,1714392441,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,42,37888,61952,129024,17828,4096,45056,4194304,4096,512,4,0,6,0,4,0,548864,1024,43170464,2,0,0,0,0,0,0,1,0,1,0,0,2097152,4096,1048576,4096,0,0,7,6.098215466162162,1.5676303722192277,0,7,7.986677490119629,0
